report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-06,Northern Africa,Sudan,Dabat Bosin,Post-emergency,28802,425,4,69,NA,71,5,NA
2024-06,Northern Africa,Sudan,Jouri,Post-emergency,14620,229,10,83,NA,33,11,NA
2024-06,Northern Africa,Sudan,Khor Alwarel,Post-emergency,55164,289,8,67,NA,197,0,3447
2024-06,Northern Africa,Sudan,Sirajiya,Post-emergency,6000,NA,0,NA,NA,NA,0,NA
2024-06,Northern Africa,Sudan,Tunaydba,Post-emergency,22610,45,31,63,9,7,14,513
2024-06,Northern Africa,Sudan,Um Gargour,Post-emergency,14778,176,38,100,671,16,23,1231
2024-06,Northern Africa,Sudan,Um Rakuba,Post-emergency,16902,50,23,100,8,9,11,331
2024-06,Northern Africa,Sudan,Um Sangour,Post-emergency,68078,NA,5,66,NA,70,6,4254
2024-05,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6222,56,17,NA,17,7,62,1037
2024-05,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,21025,141,21,100,17,17,29,1168
2024-05,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16134,168,9,100,11,12,33,1241
2024-05,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43776,200,11,100,14,14,31,2432
2024-05,Western Asia,Iraq,Arbat,Post-emergency,9138,NA,58,100,5,5,100,NA
2024-05,Western Asia,Iraq,Basirma,Post-emergency,9294,19,19,100,5,5,100,NA
2024-05,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,127,100,5,6,100,974
2024-05,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,104,100,6,6,100,95
2024-05,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,111725,133,18,99,NA,9,53,9310
2024-05,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,146356,176,13,92,NA,9,60,12196
2024-05,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,102459,89,14,99,NA,9,57,8538
2024-05,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22099,91,18,NA,NA,22,10,3683
2024-05,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,49140,124,16,100,6,4,84,927
2024-05,Sub-Saharan Africa,Niger,Abala,Post-emergency,11650,153,13,NA,45,21,17,1664
2024-05,Sub-Saharan Africa,Niger,Ayerou,Post-emergency,9000,250,3,NA,111,120,0,1285
2024-05,Sub-Saharan Africa,Niger,Centre humanitaire Agadez,Emergency,2725,NA,23,NA,90,46,0,NA
2024-05,Sub-Saharan Africa,Niger,Chadakori,Post-emergency,5282,252,4,NA,58,29,8,330
2024-05,Sub-Saharan Africa,Niger,Dandaji Makao,Post-emergency,4180,418,4,NA,48,27,8,261
2024-05,Sub-Saharan Africa,Niger,Garin Kaka,Post-emergency,2937,210,13,NA,54,20,13,183
2024-05,Sub-Saharan Africa,Niger,Ouallam,Post-emergency,6467,98,14,NA,101,15,28,NA
2024-05,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14681,81,16,100,42,34,0,815
2024-05,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14893,62,34,100,59,21,0,323
2024-05,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63484,82,20,100,19,19,0,616
2024-05,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11878,75,24,100,37,26,0,NA
2024-05,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,11882,75,15,100,40,16,0,321
2024-05,Northern Africa,Sudan,Abuda,Post-emergency,3560,66,55,NA,NA,6,60,NA
2024-05,Northern Africa,Sudan,Al Jameya,Post-emergency,28882,257,12,70,NA,24,18,1805
2024-05,Northern Africa,Sudan,Al Kashafa,Post-emergency,20357,198,9,87,NA,23,20,NA
2024-05,Northern Africa,Sudan,Al Redis 1,Post-emergency,15266,216,14,73,NA,19,21,954
2024-05,Northern Africa,Sudan,Al Redis 2,Post-emergency,40048,228,7,73,NA,48,7,2503
2024-05,Northern Africa,Sudan,Alagaya,Post-emergency,61827,310,7,78,NA,112,3,3864
2024-05,Northern Africa,Sudan,Babikir,Post-emergency,3174,66,19,NA,10,10,36,1587
2024-05,Northern Africa,Sudan,Dabat Bosin,Post-emergency,28802,425,6,67,NA,79,4,NA
2024-05,Northern Africa,Sudan,Girba,Post-emergency,6409,214,34,NA,NA,9,45,NA
